=== Step-level timing (force EXIF) ===
Backend: /Users/antoinehue/Code/charlie/test-perso  Partition: 2020/2020-03_Romane-est-arrivee

(See terminal for step-level timing with backend breakdown)

=== cProfile (full, sorted by own time) ===

         705878 function calls (692472 primitive calls) in 25.486 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/contextlib.py:485(__init__)
        1    0.000    0.000    0.001    0.001 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/thumbnail_builder.py:80(_find_image_proc_binary)
        7    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/tasks.py:723(ensure_future)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:499(register)
       15    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/encodings/utf_16_le.py:15(decode)
       29    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:713(_spawns_full_line)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:327(wait)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:601(shutdown_default_executor)
       58    0.000    0.000    0.000    0.000 {method 'co_positions' of 'code' objects}
       11    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/_weakrefset.py:39(_remove)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:278(_add_reader)
       58    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      116    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/contextlib.py:444(__init__)
      116    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/contextlib.py:450(__exit__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/tempfile.py:885(__init__)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:293(_remove_reader)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:99(close)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/tasks.py:820(_done_callback)
       58    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/multiprocessing/process.py:37(current_process)
       11    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/_weakrefset.py:85(add)
      158    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:124(<lambda>)
      174    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:994(<lambda>)
      3/1    0.000    0.000    0.001    0.001 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:1001(_bootstrap)
        1    0.000    0.000    0.045    0.045 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/shutil.py:714(rmtree)
      158    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/thumbnail_builder.py:227(<lambda>)
       70    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:1014(_escape_cdata)
       29    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:517(unregister)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:238(register)
      3/1    0.000    0.000    0.001    0.001 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:984(run)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:956(start)
        7    0.000    0.000    0.002    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/manifest.py:172(upsert_partition_in_summary)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:558(_read_ready)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:310(_set_result_unless_cancelled)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:641(wait)
        3    0.000    0.000    0.001    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/json/decoder.py:340(decode)
        4    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/schema.py:493(deserialize_summary)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:148(_feed_stdin)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:419(__init__)
        3    0.000    0.000    0.001    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/json/__init__.py:185(dumps)
      116    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/contextlib.py:447(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:119(__init__)
       29    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:198(_safe_string)
        3    0.000    0.000    0.001    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/manifest.py:137(read_summary)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:1439(_do_waitpid)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:805(call_at)
       29    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:100(_parse_value_tb)
       29    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:975(__init__)
        1    0.000    0.000    0.045    0.045 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/tempfile.py:953(cleanup)
        4    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.FileIO' objects}
        3    0.000    0.000    0.001    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/json/encoder.py:185(encode)
        8    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:69(get)
        2    0.000    0.000    0.001    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:59(exists)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:188(communicate)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:642(_run_forever_setup)
       29    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/tempfile.py:361(mkdtemp)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:1775(subprocess_exec)
        1    0.000    0.000    0.045    0.045 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/tempfile.py:895(_rmtree)
       87    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:697(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:581(glob)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:662(_glob_selector)
       58    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:944(<lambda>)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:181(_run_until_complete_cb)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/transports.py:272(__init__)
        5    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:171(_read_stream)
       58    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/multiprocessing/process.py:189(name)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:225(_pipe_connection_lost)
        5    0.000    0.000    0.001    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/manifest.py:150(write_summary)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:74(pipe_connection_lost)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/subprocess.py:1723(_get_handles)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/streams.py:493(feed_data)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:1493(set_event_loop)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:1694(connect_read_pipe)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:592(__init__)
       16    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:219(_fileobj_lookup)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/_weakrefset.py:63(__iter__)
        3    0.000    0.000    0.001    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/json/__init__.py:304(loads)
       29    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      2/1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/glob.py:376(selector)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/timeouts.py:145(timeout)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:176(dirname)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:59(__init__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:118(_make_self_pipe)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:189(_make_read_pipe_transport)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/contextlib.py:552(_push_exit_callback)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:1710(connect_write_pipe)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/streams.py:363(drain)
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       13    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/schema.py:157(__init__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/coroutines.py:10(_is_debug_mode)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/tasks.py:763(__init__)
       16    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:21(_fileobj_to_fd)
       13    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:662(_run_forever_cleanup)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/signal.py:36(_enum_to_int)
        2    0.000    0.000    0.001    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:121(exists)
       15    0.000    0.000    0.000    0.000 {built-in method fromhex}
        6    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:219(_call)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/tasks.py:44(all_tasks)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/selector_events.py:110(_close_self_pipe)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:1059(join)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/weakref.py:592(detach)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:834(_call_connection_lost)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/socket.py:653(socketpair)
       29    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:257(_try_finish)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x10fb8df80}
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:14(__init__)
        6    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/streams.py:515(_wait_for_data)
      1/0    0.000    0.000    0.000          /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:689(run_until_complete)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:291(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method sys.set_asyncgen_hooks}
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:187(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/thread.py:127(__init__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:69(close)
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:251(unregister)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:100(close)
        1    0.000    0.000    0.045    0.045 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/tempfile.py:949(__exit__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:193(_make_write_pipe_transport)
       29    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:620(set)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:781(write_eof)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/selectors.py:491(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.set_blocking}
        1    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:1050(_delete)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:715(write)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:303(connection_lost)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       13    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/shutil.py:1488(_access_check)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:799(close)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/signal.py:62(getsignal)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/weakref.py:104(__init__)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:51(list_files)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:735(close)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:1268(_make_invoke_excepthook)
        4    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:318(data_received)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/timeouts.py:85(__aenter__)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/backends/local.py:90(list_files)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        4    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:442(exists)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/weakref.py:568(__init__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/warnings.py:653(_deprecated)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/thread.py:70(_worker)
        7    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/coroutines.py:32(iscoroutine)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/subprocess.py:1133(__del__)
        6    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:635(_check_running)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/weakref.py:369(remove)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/concurrent/futures/thread.py:220(shutdown)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:529(_add_reader)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/events.py:721(set_event_loop)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_subprocess.py:193(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:576(shutdown_asyncgens)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/timeouts.py:97(__aexit__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/events.py:157(cancel)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:21(__init__)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/schema.py:483(serialize_summary)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/streams.py:319(__init__)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/logging/__init__.py:1498(debug)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/streams.py:339(write)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/runners.py:198(_cancel_all_tasks)
        3    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:329(parent)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/socket.py:497(_real_close)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/warnings.py:488(__enter__)
       29    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/traceback.py:991(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:104(process_exited)
        9    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/subprocess.py:135(wait)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/events.py:830(set_event_loop)
        2    0.000    0.000    0.000    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/socket.py:501(close)
